Name,Age,Overall rating,Potential,Team & Contract,Value,Wage,Total stats
D. Pereira CDM CM,21,66,75,Austin 2021 ~ 2023,€1.8M,€2K,1788
D. Rivillo RB,25,66,69,Caracas 2022 ~ 2023,€1M,€500,1673
J. Cedeño CM CDM,30,66,66,Academia Puerto Cabello 2022 ~ 2026,€825K,€500,1813
G. Schiavone GK,28,66,67,Metropolitanos 2018 ~ 2023,€675K,€500,1086
S. Herrera ST CAM,22,66,69,Monagas 2023 ~ 2024,€1.2M,€500,1711
J. Gómez CAM RM LM,37,66,66,Estudiantes Mérida 2021 ~ 2023,€275K,€500,1844
R. Manrique LB CB,23,66,73,Caracas 2023 ~ 2024,€1.6M,€500,1508
Ó. Hernández CDM CM CB,29,66,66,Rionegro Águilas 2020 ~ 2023,€725K,€650,1653
C. Cermeño CDM CM CAM,26,66,69,Metropolitanos 2022 ~ 2023,€1M,€500,1785
J. Caceres RB CB,29,66,66,Academia Puerto Cabello 2023 ~ 2023,€750K,€500,1582
R. Quijada CB LB,33,66,66,Caracas 2022 ~ 2023,€400K,€500,1537
C. Makoun CB,22,66,76,New England 2022 ~ 2023,€1.8M,€2K,1678
L. Hernández ST LW,21,66,74,Academia Puerto Cabello 2018 ~ 2023,€1.9M,€500,1496
N. Hernández RB RM LB,29,66,66,Deportivo Táchira 2021 ~ 2023,€750K,€500,1722
J. Paredes ST,21,66,72,Estudiantes Mérida 2023 ~ 2027,€1.4M,€500,1531
J. Mancín RW LW LM,22,66,74,Metropolitanos 2023 ~ 2026,€1.9M,€500,1827
R. Figueroa RW LM,25,66,67,Academia Puerto Cabello 2023 ~ 2023,€1M,€500,1601
C. Ortiz ST,35,66,66,Metropolitanos 2022 ~ 2023,€375K,€500,1489
S. Guarirapa ST LM,19,66,74,Caracas 2022 ~ 2025,€1.9M,€500,1600
D. Díaz CAM CM,32,66,66,Deportivo Táchira 2023 ~ 2026,€675K,€500,1730
P. Camacho RB CB,31,66,66,Deportivo Táchira 2019 ~ 2023,€625K,€500,1666
L. Del Pino Mago CB LB,27,66,67,Banfield 2022 ~ 2023,€850K,€4K,1636
J. Ramírez ST,24,65,70,Marítimo 2021 ~ 2024,€1.1M,€3K,1614
R. Rivas CB RB,22,65,69,Caracas 2023 ~ 2024,€950K,€500,1720
D. Linárez LM LB,30,65,65,Deportivo Táchira 2023 ~ 2023,€700K,€500,1641
É. Carrión LM LW,20,65,72,Monagas 2021 ~ 2023,€1.4M,€500,1760
L. Annese ST RW,29,65,65,Metropolitanos 2022 ~ 2022,€725K,€500,1626
E. Penilla CB RWB RB,26,65,68,Estudiantes Mérida 2020 ~ 2022,€825K,€500,1442
J. Quintero CB,21,65,75,Deportivo Táchira 2019 ~ 2024,€1.5M,€500,1443
A. Marqués ST,21,65,76,Estoril 2020 ~ 2024,€1.6M,€2K,1545
C. Flores LM CDM CM,34,65,65,Estudiantes Mérida 2018 ~ 2023,€325K,€500,1734
M. Sulbarán RM LM,19,65,71,Caracas 2021 ~ 2025,€1.1M,€500,1578
D. Gómez RW LW RM,30,65,65,Metropolitanos 2022 ~ 2023,€700K,€500,1596
N. Canelón RM LM CAM,30,65,65,Estudiantes Mérida 2023 ~ 2026,€700K,€500,1562
Jesús Bueno CDM CM,23,65,71,Philadelphia Union 2021 ~ 2023,€1M,€2K,1693
J. Castillo RW LW,19,65,75,Deportivo Táchira 2023 ~ 2023,€1.5M,€500,1597
J. Gutiérrez CB,24,65,69,Deportivo Táchira 2022 ~ 2023,€925K,€500,1376
T. Rojas GK,34,65,65,Metropolitanos 2017 ~ 2026,€120K,€500,1140
N. Cova LB,27,65,65,Metropolitanos 2020 ~ 2024,€700K,€500,1477
W. Peña ST LM LW,21,65,69,Estudiantes Mérida 2023 ~ 2027,€1.1M,€500,1596
K. De La Hoz RB RM LB,23,65,72,Academia Puerto Cabello 2021 ~ 2023,€1.4M,€500,1595
D. Luna CB,22,65,69,Caracas 2023 ~ 2024,€950K,€500,1522
J. Camargo GK,24,65,70,Deportivo Táchira 2023 ~ 2026,€875K,€500,1013
J. Páez CM CDM LM,26,65,66,Estudiantes Mérida 2023 ~ 2027,€825K,€500,1737
R. Guerrero RM RW,28,65,65,Academia Puerto Cabello 2022 ~ 2024,€725K,€500,1617
R. Feltscher RB,31,64,64,MSV Duisburg 2021 ~ 2024,€425K,€2K,1743
R. Hernández RB RWB RM,24,64,69,Atlanta United 2022 ~ 2024,€825K,€2K,1600
J. Marchán CAM CM,23,64,67,Metropolitanos 2023 ~ 2023,€800K,€500,1512
G. Materan RM ST RW,24,64,67,Estudiantes Mérida 2020 ~ 2022,€800K,€500,1462
L. Arenas ST,23,64,69,Estudiantes Mérida 2022 ~ 2023,€900K,€500,1505
A. Rodriguez CM CDM,18,64,74,Estudiantes Mérida 2023 ~ 2027,€1.2M,€500,1753
A. Martínez CB,28,64,64,Al Tai 2022 ~ 2023,€500K,€5K,1381
M. Rondón ST RM,36,64,64,Sepsi 2022 ~ 2023,€200K,€3K,1670
S. Rodríguez ST,21,64,69,Caracas 2022 ~ 2026,€900K,€500,1551
G. Contreras LB RB,21,64,69,Estudiantes Mérida 2023 ~ 2023,€850K,€500,1546
L. Bolívar RB LB,32,64,64,Metropolitanos 2020 ~ 2026,€400K,€500,1719
R. Rivas LB LM,19,64,73,Caracas 2020 ~ 2023,€1.2M,€500,1653
E. Valderrey CM LM RM,36,64,64,Metropolitanos 2022 ~ 2024,€180K,€500,1774
E. Peña Zauner CAM LM,22,64,71,Eintracht Braunschweig 2021 ~ 2023,€1.2M,€3K,1643
D. Martínez LB CB RM,21,64,69,Estudiantes Mérida 2022 ~ 2023,€850K,€500,1653
I. Antón ST CF,34,64,64,Metropolitanos 2020 ~ 2023,€275K,€500,1697
M. Navarro LB LM LWB,23,64,70,Chicago Fire 2020 ~ 2024,€875K,€2K,1544
J. Colina CDM CM,35,64,64,Academia Puerto Cabello 2023 ~ 2023,€160K,€500,1531
S. Pabón CB RB,20,64,72,Metropolitanos 2020 ~ 2023,€1.2M,€500,1573
F. Basante ST,18,63,74,Monagas 2022 ~ 2024,€1M,€500,1492
E. Rivas ST,20,63,69,Caracas 2023 ~ 2023,€750K,€500,1520
R. Castrillo CAM ST RM,23,63,67,Estudiantes Mérida 2022 ~ 2022,€700K,€500,1710
J. Gómez CM CDM,20,63,69,Estudiantes Mérida 2021 ~ 2023,€750K,€500,1667
A. Contreras CAM CM,21,63,67,Caracas 2019 ~ 2023,€700K,€500,1719
A. Páez CAM LM RM,27,63,63,Estudiantes Mérida 2023 ~ 2026,€500K,€500,1666
A. Lucena CM CAM,19,63,74,Metropolitanos 2023 ~ 2024,€1M,€500,1702
D. Valdés GK,29,63,63,Deportivo Táchira 2018 ~ 2023,€325K,€500,1093
D. Osio CB,25,63,68,Academia Puerto Cabello 2023 ~ 2023,€625K,€500,1404
W. Carmona RM CAM LW,19,63,75,New York RB 2021 ~ 2022,€1.1M,€1K,1615
C. Montaña CDM,23,63,70,Academia Puerto Cabello 2020 ~ 2024,€900K,€500,1549
B. Castillo ST,21,63,69,Deportivo Táchira 2023 ~ 2023,€775K,€500,1493
T. Gutierrez CB,22,62,72,Deportivo Pereira 2023 ~ 2023,€825K,€500,1485
N. Jiménez ST,19,62,69,Caracas 2020 ~ 2027,€775K,€500,1471
G. Perozo CB,36,62,62,Monagas 2021 ~ 2023,€70K,€500,1465
E. Martínez CB,24,62,66,Monagas 2022 ~ 2023,€525K,€500,1386
E. Urbina RM RW ST,20,62,69,Caracas 2023 ~ 2023,€800K,€500,1711
J. Roa GK,24,62,68,Monagas 2020 ~ 2023,€500K,€500,1047
C. Calzadilla RM RB,20,62,69,Deportivo Táchira 2022 ~ 2024,€800K,€500,1508
C. Díaz CB,21,62,69,Metropolitanos 2020 ~ 2023,€750K,€500,1344
D. Guevara CB LB,20,62,72,Monagas 2023 ~ 2024,€825K,€500,1361
D. Gil GK,20,62,71,Academia Puerto Cabello 2022 ~ 2024,€750K,€500,943
E. Bores GK,19,61,72,Deportivo Cuenca 2022 ~ 2023,€600K,€500,1167
C. Camarillo CB,19,61,69,Metropolitanos 2023 ~ 2025,€650K,€500,1365
W. Ramírez CDM,20,61,69,Estudiantes Mérida 2023 ~ 2027,€675K,€500,1496
D. Martínez LW CAM RW,16,61,74,Monagas 2022 ~ 2027,€750K,€500,1434
T. Segovia CM CDM,19,61,74,Sampdoria 2020 ~ 2023,€775K,€2K,1601
C. Cruz LW LM RW,20,61,71,Deportivo Táchira 2023 ~ 2023,€725K,€500,1632
L. Casiani RB,20,61,66,Caracas 2023 ~ 2023,€450K,€500,1465
I. Contreras LB,18,61,71,Deportivo Táchira 2020 ~ 2024,€650K,€500,1644
P. Bonilla RB LB,22,60,63,Portland Timbers 2020 ~ 2023,€325K,€1K,1616
C. Paraco LM,18,60,69,Deportivo Táchira 2022 ~ 2027,€525K,€500,1415
O. Labrador LB LWB,30,60,60,Estudiantes Mérida 2018 ~ 2023,€210K,€500,1408
W. Hernández GK,21,60,67,Caracas 2020 ~ 2022,€425K,€500,915
R. Iriarte CM CDM,18,60,69,Monagas 2022 ~ 2024,€525K,€500,1614
J. Valbuena CM CDM,17,60,69,Deportivo Táchira 2022 ~ 2027,€500K,€500,1553
G. Giro CM CDM,19,59,68,Estudiantes Mérida 2023 ~ 2027,€475K,€500,1689
A. Peña GK,21,59,67,Estudiantes Mérida 2020 ~ 2026,€450K,€500,855
Ó. Jimenez LB,19,59,69,Monagas 2022 ~ 2023,€475K,€500,1502
J. Martínez CAM,20,59,69,Metropolitanos 2022 ~ 2027,€500K,€500,1511
S. Gómez RB,19,59,70,Academia Puerto Cabello 2021 ~ 2024,€475K,€500,1362
L. Pérez CB,19,58,69,Metropolitanos 2023 ~ 2025,€400K,€500,1342
B. Albizo ST,19,58,68,Caracas 2022 ~ 2024,€450K,€500,1436
F. Benítez GK,18,58,69,Caracas 2022 ~ 2023,€375K,€500,937
J. Marquez CB RB,18,58,68,Estudiantes Mérida 2022 ~ 2023,€400K,€500,1286
K. Kelsy ST,17,57,77,Shakhtar Donetsk 2023 ~ 2027,€450K,€500,1387
L. Rodríguez RW LW,17,57,69,Monagas 2023 ~ 2027,€375K,€500,1364
S. Natera CM,16,57,69,Monagas 2022 ~ 2023,€375K,€500,1610
J. González CB,19,57,69,Academia Puerto Cabello 2023 ~ 2022,€375K,€500,1350
D. Tegues ST,18,57,67,Deportivo Táchira 2023 ~ 2024,€350K,€500,1377
J. Mota RB,20,57,67,Monagas 2023 ~ 2027,€350K,€500,1393
O. Chacín GK,19,57,70,Monagas 2022 ~ 2024,€350K,€500,1034
J. Silva LB RW,25,56,59,Monagas 2023 ~ 2024,€170K,€500,1374
J. Duarte ST,16,56,66,Deportivo Táchira 2022 ~ 2027,€300K,€500,1386
F. Azzkoul GK,21,55,66,Estudiantes Mérida 2023 ~ 2027,€250K,€500,919
S. Uzcátegui CM,20,55,69,Estudiantes Mérida 2023 ~ 2026,€300K,€500,1441
A. Rodríguez CM,18,55,69,Monagas 2023 ~ 2027,€300K,€500,1482
G. Padrón CM CAM,19,55,69,Academia Puerto Cabello 2023 ~ 2025,€300K,€500,1477
G. Guzmán CB,20,54,69,Caracas 2022 ~ 2023,€240K,€500,1255
B. Tamayo CB,17,53,73,Caracas 2023 ~ 2027,€240K,€500,1242
A. Rivas ST,19,53,65,Caracas 2023 ~ 2027,€220K,€500,1324
G. Monjes CM CAM ST,17,53,69,Academia Puerto Cabello 2023 ~ 2027,€230K,€500,1510
S. Asibe CM,17,53,69,Monagas 2023 ~ 2027,€230K,€500,1515
H. Linares CB,21,50,59,Academia Puerto Cabello 2022 ~ 2025,€100K,€500,1261
J. Cantillo CM CAM,18,49,64,Academia Puerto Cabello 2023 ~ 2027,€110K,€500,1405
